Variable:,tas
Country:,Egypt
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,13.80,13.89,20.38,22.20,25.84,29.48,29.46,30.19,27.65,24.89,22.00,14.63
1963,14.90,16.26,17.28,23.35,26.05,29.30,29.82,29.91,28.05,25.65,19.09,14.96
1964,11.72,13.58,18.61,22.41,24.64,28.41,28.57,28.70,25.76,23.86,18.45,14.78
1965,13.35,15.01,18.78,21.50,24.82,29.29,29.64,29.24,27.31,23.01,18.05,14.15
1966,13.46,14.56,17.67,23.13,26.49,29.16,29.30,29.35,27.69,25.46,21.77,14.60
1967,11.98,13.96,15.39,22.38,25.24,28.57,28.70,29.12,26.76,23.29,18.06,15.08
1968,12.25,14.18,17.17,22.66,27.28,30.37,30.00,29.63,27.65,23.47,19.07,14.80
1969,12.32,16.98,20.93,21.18,25.88,30.04,27.98,28.82,28.94,24.94,19.46,14.88
1970,14.41,15.28,18.43,22.98,26.14,27.54,28.81,28.75,26.99,22.67,18.40,13.17
1971,14.81,14.46,18.89,21.07,27.05,28.42,28.26,29.16,27.00,22.82,17.74,13.84
1972,12.65,13.97,17.72,23.41,25.95,28.53,28.97,29.59,28.29,24.65,18.15,13.56
1973,12.78,16.11,17.39,22.08,25.98,28.54,29.88,28.23,27.19,24.43,16.92,14.82
1974,11.89,14.40,18.85,23.96,25.51,28.47,29.21,28.90,27.33,25.22,18.78,13.29
1975,12.12,14.44,18.04,23.96,25.87,28.59,29.14,28.42,26.80,23.48,18.76,14.20
1976,12.43,13.18,18.02,22.82,26.82,28.34,29.06,28.00,27.39,25.29,19.48,15.12
1977,13.08,16.14,16.71,21.65,26.84,29.25,29.81,29.64,27.35,22.38,18.69,13.07
1978,12.61,15.39,17.95,23.13,27.91,28.79,29.96,27.79,26.90,24.96,16.81,14.60
1979,13.33,16.54,19.51,24.15,26.58,29.90,29.38,29.55,27.19,24.88,20.12,13.27
1980,12.94,13.82,18.51,22.78,27.06,28.81,29.82,29.45,26.63,24.44,19.91,14.70
1981,11.35,13.91,18.68,23.86,25.78,29.24,29.65,29.32,26.93,25.33,17.07,14.98
1982,14.22,13.10,16.34,23.43,24.80,28.42,28.80,29.38,27.56,25.13,16.87,13.38
1983,11.02,12.96,15.79,21.13,26.42,28.74,29.85,28.89,26.94,22.51,19.56,14.82
1984,12.85,15.07,18.57,22.29,28.07,27.68,28.62,28.21,27.77,24.62,18.36,14.53
1985,15.32,14.11,18.77,22.71,27.41,29.40,28.94,29.57,26.92,22.21,19.75,15.52
1986,13.57,16.08,19.15,23.21,23.87,29.26,29.88,29.95,28.68,23.76,18.11,13.27
1987,14.00,15.92,17.45,20.87,26.52,28.39,30.12,29.92,27.76,23.12,18.25,15.19
1988,13.57,14.48,18.27,23.44,27.77,30.16,30.80,30.14,28.31,22.69,16.73,14.49
1989,11.25,12.96,17.89,24.68,27.25,29.14,29.63,29.98,28.10,23.62,18.54,14.51
1990,13.55,13.78,17.00,23.84,25.93,28.41,29.83,28.74,26.93,24.47,21.04,17.01
1991,13.18,15.18,19.24,24.49,26.82,29.00,29.25,29.17,26.92,24.88,18.95,12.71
