Variable:,tas
Country:,Spain
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,6.39,6.14,7.89,11.02,14.49,18.77,21.63,22.78,19.92,15.12,6.83,4.66
1963,4.90,4.39,8.60,10.68,14.20,17.96,22.09,20.58,17.61,15.03,9.96,5.06
1964,4.59,7.18,8.36,10.59,17.14,19.00,22.61,22.10,20.98,13.07,8.75,4.69
1965,5.02,4.45,9.03,11.15,16.03,19.59,20.80,21.55,16.51,14.11,8.61,6.94
1966,7.44,8.64,8.40,11.47,15.30,18.42,21.06,21.60,20.09,12.90,6.75,6.19
1967,4.97,6.80,10.17,10.25,13.39,17.76,22.70,21.72,18.26,15.27,9.32,4.74
1968,5.89,6.84,8.02,10.71,13.91,18.83,21.89,21.28,18.34,16.04,9.61,6.61
1969,6.49,5.09,8.41,10.64,13.85,17.15,22.59,21.76,16.57,14.32,8.28,5.02
1970,6.85,6.77,6.98,10.64,14.48,18.55,22.15,21.39,20.40,13.46,10.91,3.78
1971,5.05,6.93,6.22,10.69,12.85,16.83,21.81,21.23,19.10,15.62,7.37,6.21
1972,4.61,6.72,8.19,10.57,12.99,16.97,21.17,20.42,16.32,12.73,9.78,5.84
1973,5.31,5.82,7.62,10.48,14.77,18.65,21.33,22.98,18.70,13.19,9.52,5.29
1974,6.98,6.24,8.31,9.51,14.59,18.35,22.07,21.55,17.84,11.03,9.20,6.80
1975,6.81,7.41,7.10,10.41,12.96,17.99,22.55,22.25,17.62,14.14,8.71,4.83
1976,4.86,6.97,8.61,9.52,14.74,20.40,22.27,21.81,17.46,12.37,7.32,6.97
1977,5.74,8.00,9.63,11.36,13.20,16.64,19.61,19.73,18.95,14.49,8.77,7.92
1978,5.29,7.85,9.12,9.76,13.04,16.61,21.10,21.85,20.16,13.91,9.05,8.00
1979,6.82,7.31,8.23,9.98,14.32,19.10,22.22,21.62,18.64,13.44,8.40,6.86
1980,5.40,7.65,8.73,10.43,13.28,17.89,20.74,22.46,20.38,13.86,8.54,4.93
1981,5.52,5.69,10.55,10.53,13.55,19.69,21.48,21.97,19.29,14.59,10.96,7.80
1982,7.51,7.31,8.98,11.50,14.85,19.82,22.33,21.75,19.19,13.19,9.05,6.15
1983,5.74,5.12,9.94,10.56,13.15,19.55,22.22,21.14,20.54,15.32,11.50,6.82
1984,5.90,6.08,7.02,12.45,11.29,17.81,22.44,21.27,18.50,13.55,9.77,6.64
1985,3.52,8.30,7.89,11.75,13.18,18.90,22.98,21.79,21.33,15.82,8.47,6.51
1986,5.74,5.81,8.50,8.24,15.85,19.09,22.74,21.59,19.59,15.14,9.31,6.57
1987,4.66,6.78,9.73,12.16,14.50,18.93,22.12,22.74,21.31,13.56,9.22,7.86
1988,7.38,6.80,9.49,11.26,14.10,17.55,21.56,22.47,19.62,14.99,9.95,6.04
1989,5.53,7.60,10.42,9.73,16.10,19.75,24.09,23.35,18.76,15.51,10.67,9.10
1990,5.87,9.81,10.38,10.31,16.12,19.48,23.70,23.67,20.70,14.34,8.87,5.11
1991,5.38,5.49,9.54,10.19,14.01,19.30,23.17,24.11,20.56,12.63,8.98,6.50
1992,4.35,6.53,9.51,11.65,16.38,16.57,22.62,23.17,18.86,12.52,10.36,7.29
1993,5.49,6.36,8.95,10.70,14.26,19.27,22.20,22.57,17.47,11.90,8.39,7.11
1994,5.90,6.91,10.97,10.51,15.13,19.82,23.61,23.33,17.69,14.64,11.09,7.60
1995,6.57,8.44,9.62,12.12,16.26,19.22,23.32,23.02,17.31,16.30,10.99,7.99
1996,7.52,5.92,8.98,12.01,14.41,20.51,22.72,21.43,17.52,13.94,9.56,7.05
1997,5.99,8.93,11.54,13.47,15.41,18.33,21.50,22.80,20.41,16.29,10.30,7.27
1998,7.17,8.62,10.97,10.59,14.87,19.71,22.94,23.58,19.33,13.72,9.24,5.67
1999,6.13,6.42,9.57,12.09,16.26,19.70,23.31,22.90,19.34,14.59,8.27,6.50
2000,4.51,8.98,10.23,10.54,16.02,20.53,21.96,22.60,19.60,13.78,9.04,8.22
2001,7.34,7.74,11.27,11.87,15.33,20.71,22.12,23.08,18.76,15.97,7.96,4.62
2002,6.91,8.18,10.19,11.73,14.29,19.89,21.96,21.32,18.59,14.82,10.14,8.52
2003,5.87,6.15,10.51,11.94,16.07,21.88,23.46,24.36,20.06,13.80,10.18,6.87
2004,7.36,6.99,8.54,10.96,14.21,21.36,23.02,22.91,20.17,15.23,8.55,6.48
2005,4.98,4.61,9.05,11.93,16.38,21.67,23.40,22.75,19.11,15.31,8.62,5.70
2006,5.07,5.82,10.08,12.73,16.70,20.47,24.61,22.31,20.27,16.24,11.62,6.59
2007,6.50,8.80,9.37,12.08,15.50,19.06,22.27,21.96,19.18,14.37,8.85,6.34
2008,7.50,8.77,9.55,12.21,14.57,19.59,22.50,22.71,18.67,13.87,8.09,5.71
2009,5.44,6.78,10.08,10.95,16.40,20.78,23.13,23.88,19.85,16.08,11.25,6.83
2010,5.54,6.43,8.52,12.40,14.68,19.28,24.09,23.52,19.57,13.95,8.96,6.01
2011,6.10,7.30,9.15,13.89,16.71,19.75,22.23,23.28,20.59,15.88,10.73,7.10
2012,6.10,4.78,9.98,10.54,16.43,20.86,22.66,23.84,19.74,14.79,9.82,7.22
2013,6.74,6.28,9.29,11.15,13.51,18.65,23.79,23.23,20.21,16.18,9.21,6.40
2014,7.76,7.55,9.89,13.35,15.54,19.99,22.18,22.59,20.72,17.05,11.09,6.63
2015,6.04,6.32,9.76,12.66,16.72,21.10,24.48,23.20,18.73,14.79,11.11,8.69
2016,8.19,8.04,8.77,11.34,14.95,20.09,23.60,23.62,20.65,15.57,9.70,7.49
2017,5.45,8.68,10.47,12.93,16.97,21.62,23.42,23.43,19.37,16.55,9.60,6.52
2018,7.34,5.72,8.92,12.09,15.09,19.77,23.16,24.26,21.28,14.69,9.88,7.94
2019,5.99,8.09,10.41,11.41,15.61,19.88,23.96,23.42,20.16,15.49,9.76,8.33
2020,6.62,9.58,10.10,12.54,17.56,19.28,24.43,23.48,20.03,13.94,10.86,7.21
2021,5.79,9.27,9.46,11.60,15.45,20.12,22.96,23.27,20.34,15.27,8.69,8.37
