Variable:,tas
Country:,"United States"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1959,-4.44,-1.75,1.24,7.95,13.96,19.26,20.88,20.72,15.99,9.30,1.39,-1.12
1960,-3.91,-2.77,-0.44,8.31,13.47,18.58,21.30,20.22,16.63,10.15,2.90,-2.47
1961,-3.39,-0.55,2.50,6.57,13.16,18.85,20.87,20.44,15.45,9.31,1.78,-4.17
1962,-5.14,-0.75,0.47,8.33,14.34,18.12,20.60,20.39,15.56,10.90,3.44,-2.00
1963,-5.74,-1.39,3.19,8.26,14.14,18.28,21.13,20.17,16.96,12.14,2.87,-3.90
1964,-3.34,-2.95,0.25,7.69,13.69,18.25,21.63,19.58,15.60,9.77,2.90,-3.86
1965,-3.40,-3.40,0.46,8.52,13.56,17.43,20.60,19.60,14.94,9.55,4.18,-1.34
1966,-6.18,-3.19,2.15,7.21,13.29,18.27,21.81,19.55,16.08,9.04,3.27,-2.77
1967,-2.60,-2.46,3.53,8.21,12.43,18.13,20.63,19.92,15.81,9.59,2.85,-2.50
1968,-4.41,-2.48,3.56,7.60,12.71,18.42,21.07,19.76,15.48,9.85,2.37,-4.36
1969,-4.89,-2.57,-0.10,9.13,14.44,17.93,21.32,20.35,16.58,8.85,2.25,-1.12
1970,-5.78,-0.46,1.45,7.26,14.15,18.50,21.29,20.76,15.64,8.38,2.78,-2.18
1971,-5.45,-2.47,0.64,7.32,12.53,19.04,20.62,20.18,15.82,10.11,2.30,-1.79
1972,-4.57,-2.61,2.46,7.18,13.68,18.25,20.72,20.29,15.72,9.03,1.44,-3.64
1973,-4.81,-2.04,3.43,7.11,13.22,18.60,20.96,20.33,15.95,10.52,2.71,-1.73
1974,-3.88,-2.43,3.40,8.30,13.84,18.34,21.42,19.59,15.18,9.38,2.64,-2.48
1975,-3.46,-2.74,0.97,5.83,13.76,17.90,21.26,19.99,15.08,9.81,2.17,-2.40
1976,-4.12,-0.15,2.48,8.39,13.01,18.08,20.88,19.80,15.91,7.77,1.71,-3.17
1977,-5.82,0.05,2.57,9.09,14.32,19.38,21.77,20.59,16.77,9.81,2.44,-2.50
1978,-4.97,-4.16,2.47,8.57,13.59,18.51,21.42,20.34,16.80,9.74,2.90,-3.28
1979,-7.01,-5.66,2.81,7.80,13.44,18.15,21.13,20.07,16.90,10.76,2.75,-1.47
1980,-3.71,-1.56,1.68,8.47,13.90,18.58,22.23,20.49,16.54,9.35,3.22,-2.46
1981,-1.15,-0.19,3.88,9.98,13.53,19.07,21.23,20.15,15.97,9.00,4.16,-2.03
1982,-6.19,-2.51,2.62,6.58,13.72,17.42,21.04,20.22,15.82,8.72,2.17,-0.59
1983,-2.79,-0.27,2.86,6.45,12.71,17.95,21.48,21.49,16.09,9.82,3.52,-5.34
1984,-4.46,-1.17,2.20,7.08,13.50,18.68,20.93,20.56,15.38,9.49,2.19,-1.46
1985,-4.29,-3.80,3.28,8.57,14.37,18.05,21.42,19.69,15.02,9.35,1.32,-3.27
1986,-1.42,-0.55,4.12,8.24,13.96,19.43,21.22,19.87,15.68,9.68,2.24,-0.72
1987,-2.76,0.01,2.92,9.08,15.04,19.28,21.16,20.23,16.10,9.50,3.67,-1.52
1988,-4.58,-1.72,2.97,8.58,14.38,19.64,21.91,20.99,15.88,9.10,2.79,-1.60
1989,-3.22,-3.55,2.64,9.21,13.76,18.34,21.65,20.19,15.96,9.83,2.38,-4.21
1990,-1.15,-1.96,4.14,9.23,13.48,19.44,21.32,20.56,17.23,9.55,3.30,-3.56
1991,-4.06,0.85,3.19,9.05,14.82,18.96,21.33,20.62,16.36,9.99,1.38,-0.99
1992,-1.93,0.50,3.90,8.60,13.80,18.12,20.30,19.20,15.48,9.42,2.03,-3.06
1993,-3.67,-2.77,2.73,8.11,14.41,18.16,21.00,20.27,15.31,9.54,1.64,-1.11
1994,-3.76,-2.92,3.54,9.11,14.27,19.75,21.44,20.66,16.49,9.69,2.60,-0.90
1995,-2.27,-0.08,2.72,8.01,13.54,18.30,21.40,21.42,16.58,10.04,2.46,-1.88
1996,-4.52,-1.21,1.58,8.00,14.32,19.23,21.36,20.35,15.37,8.91,1.43,-2.22
1997,-4.27,-0.18,2.77,6.49,13.31,18.45,21.06,20.16,17.05,9.05,2.47,-2.03
1998,-1.72,0.76,2.69,8.51,14.90,18.30,21.95,20.84,17.95,10.12,4.12,-1.42
1999,-2.76,-0.13,2.40,8.05,13.45,18.38,21.44,20.64,15.68,9.53,4.83,-1.42
2000,-2.54,1.63,4.55,8.51,14.64,18.61,21.09,20.72,16.04,9.93,1.04,-4.05
2001,-2.36,-1.31,2.02,9.02,14.29,18.86,21.52,21.11,16.44,9.29,4.83,-1.35
2002,-1.35,-0.72,1.47,8.73,13.38,19.45,22.16,20.38,17.10,8.91,3.49,-0.42
2003,-2.30,-1.76,2.97,8.78,13.95,18.36,22.05,21.41,15.87,11.11,3.07,-1.23
2004,-4.31,-1.67,4.54,9.10,14.95,18.69,21.26,19.77,16.34,10.63,3.84,-1.02
2005,-2.38,-0.01,3.17,8.64,13.89,19.20,22.11,20.99,17.55,10.48,3.44,-1.83
2006,-0.12,-0.84,2.59,9.77,14.80,19.55,22.58,20.77,15.68,9.45,3.08,-0.33
2007,-3.40,-2.56,4.07,8.21,14.79,19.29,21.95,21.71,17.23,11.05,4.04,-1.74
2008,-3.87,-1.77,2.50,7.81,13.58,19.01,21.40,20.35,16.35,9.22,3.25,-2.75
2009,-3.76,-0.65,2.56,8.03,14.52,18.71,21.03,20.17,16.88,8.47,4.10,-3.50
2010,-3.69,-2.35,3.25,9.30,13.90,19.41,21.71,21.44,17.06,10.93,3.30,-2.90
2011,-3.83,-2.21,3.01,8.58,13.57,19.19,22.42,21.53,16.80,10.50,2.85,-0.84
2012,-2.37,0.44,5.61,9.97,15.10,19.65,22.69,21.08,16.69,9.65,3.11,-1.19
2013,-2.37,-1.28,1.88,6.83,13.85,19.76,21.79,20.98,17.28,10.14,2.52,-3.19
2014,-2.41,-2.67,2.19,8.77,14.71,18.97,21.17,20.75,17.04,11.05,2.14,0.48
2015,-2.25,-1.84,4.43,9.44,14.68,20.10,21.72,20.75,17.73,11.75,4.39,0.77
2016,-1.52,1.71,5.73,9.86,14.44,20.33,22.39,21.34,17.50,11.93,5.62,-2.05
2017,-2.07,1.77,3.84,10.02,14.21,19.69,22.57,20.38,17.15,10.85,4.40,-0.77
2018,-2.36,-0.56,3.39,7.49,16.39,20.09,22.39,21.01,17.57,10.37,2.48,-0.57
2019,-2.38,-1.85,2.93,9.53,14.10,19.21,22.38,21.31,18.41,9.37,3.00,-0.08
2020,-1.85,-0.98,4.50,8.34,14.61,19.66,22.42,21.69,16.75,9.99,4.92,-0.38
2021,-0.98,-3.86,3.94,8.41,14.06,20.63,22.22,21.23,17.48,11.47,3.54,0.88
