Variable:,tas
Country:,Canada
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1955,-20.73,-22.39,-19.08,-5.72,1.98,9.95,13.03,11.43,4.97,-0.63,-14.82,-21.37
1956,-22.02,-21.99,-17.35,-7.37,0.01,8.37,12.20,10.59,4.02,-2.88,-10.91,-21.33
1957,-25.78,-21.68,-13.96,-7.19,1.08,8.06,12.23,10.90,6.31,-2.11,-11.26,-18.87
1958,-18.05,-22.07,-13.18,-6.57,2.83,8.16,12.50,11.44,5.74,-1.52,-12.17,-20.14
1959,-23.39,-22.28,-16.13,-7.26,0.56,8.06,12.74,10.10,5.33,-4.19,-13.00,-15.36
1960,-21.97,-18.41,-18.47,-7.22,2.92,9.25,12.80,11.49,5.81,-1.40,-11.99,-17.63
1961,-22.58,-20.42,-16.96,-7.39,1.20,9.68,13.14,11.75,4.47,-2.99,-11.64,-20.42
1962,-23.49,-24.29,-14.94,-7.69,0.73,8.98,12.15,11.26,5.48,-0.61,-10.61,-17.93
1963,-23.44,-20.46,-17.50,-5.72,1.14,8.55,12.72,11.31,5.42,0.28,-10.94,-18.94
1964,-21.60,-18.58,-20.32,-8.22,1.86,8.12,12.50,10.27,4.63,-1.83,-11.75,-22.17
1965,-23.95,-23.80,-16.36,-6.93,2.02,8.03,11.77,10.53,3.36,-2.40,-12.56,-18.32
1966,-26.50,-20.31,-14.80,-8.25,1.58,8.82,12.70,11.15,6.52,-2.57,-14.55,-18.49
1967,-22.76,-23.79,-18.56,-9.41,1.00,8.59,12.24,11.47,6.46,-1.75,-11.55,-17.34
1968,-24.03,-20.56,-13.53,-6.69,1.53,8.16,11.50,9.62,6.44,-0.40,-10.78,-20.30
1969,-25.24,-18.83,-16.10,-6.20,1.19,7.68,12.05,11.42,4.93,-2.31,-10.54,-15.01
1970,-23.57,-20.63,-15.20,-7.40,0.63,9.35,12.91,11.54,4.93,-1.59,-11.73,-22.33
1971,-24.78,-20.10,-15.72,-6.35,2.52,9.32,12.26,11.39,5.75,-0.98,-12.20,-22.24
1972,-26.53,-25.32,-17.02,-9.01,1.59,8.21,11.22,10.95,3.03,-4.41,-12.45,-23.11
1973,-21.41,-22.05,-13.68,-7.08,3.01,9.46,13.12,12.06,6.03,-0.51,-13.06,-18.73
1974,-25.90,-21.91,-19.03,-8.20,0.73,9.12,12.60,10.49,3.99,-3.55,-10.24,-16.82
1975,-24.20,-21.56,-17.52,-7.28,3.06,9.95,13.68,10.85,5.46,-1.89,-12.00,-20.71
1976,-22.40,-21.28,-17.47,-4.50,2.56,8.87,12.46,11.14,6.16,-3.04,-10.91,-20.66
1977,-20.27,-17.15,-13.21,-5.16,3.63,9.32,11.97,10.34,5.59,-0.84,-11.35,-21.71
1978,-23.04,-18.73,-16.80,-7.47,1.69,7.86,11.69,10.23,5.04,-3.39,-13.94,-19.03
1979,-22.34,-27.68,-15.88,-7.49,1.78,8.50,13.15,10.56,5.64,-1.79,-9.81,-17.07
1980,-22.31,-18.66,-15.45,-4.80,3.78,8.75,12.22,11.29,4.16,-1.38,-10.08,-22.43
1981,-17.15,-16.92,-11.20,-7.53,2.92,8.43,12.96,12.44,6.05,-1.78,-8.40,-17.07
1982,-27.33,-22.55,-17.22,-8.98,1.74,8.59,12.72,9.80,5.58,-1.78,-13.98,-19.36
1983,-21.73,-20.57,-15.93,-6.59,-0.25,9.47,12.75,11.96,5.71,-1.88,-9.40,-22.51
1984,-22.87,-17.50,-15.40,-4.56,1.98,9.32,13.11,12.00,4.07,-2.41,-12.84,-22.34
1985,-19.65,-22.73,-14.74,-7.71,2.81,8.72,12.32,10.42,5.35,-2.50,-15.33,-17.44
1986,-20.12,-19.88,-15.11,-6.77,2.83,7.91,11.93,10.69,4.55,-2.86,-15.32,-16.47
1987,-18.71,-18.06,-14.73,-4.84,2.03,9.39,12.73,10.16,7.01,-1.62,-9.99,-14.81
1988,-22.66,-20.85,-13.27,-4.80,2.76,9.68,13.02,11.76,5.83,-1.63,-11.65,-19.01
1989,-22.85,-21.72,-18.85,-6.06,1.96,9.65,13.63,12.01,5.96,-2.02,-14.04,-20.46
1990,-21.37,-23.81,-12.98,-6.24,1.91,9.26,13.06,11.42,5.92,-3.19,-13.50,-21.91
